Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a277075e-15d6-cabd-884b-e899deb0b70f,2007-10-19,,999-28-5065,S99915650,,,Donette997,Elli820,Satterfield305,,,,white,nonhispanic,F,Wareham  Massachusetts  US,300 Greenfelder Underpass,Boston,Massachusetts,Suffolk County,25025,02124,42.35359584314294,-71.15836429960967,219622.71,479529.67,39158
0c6dcfec-b8e3-833d-f791-af7aa904e2ca,1988-04-06,,999-42-6636,S99919773,X66443589X,Mrs.,Siobhan540,,McCullough561,JD,Gislason620,M,white,nonhispanic,F,Spencer  Massachusetts  US,376 D'Amore Way,Westwood,Massachusetts,Norfolk County,,00000,42.19028847348267,-71.25371847148122,136334.02,450080.89,38968
fa49cf68-67fe-bdcb-0532-df9e2bec52f8,1988-11-05,,999-64-4718,S99941982,X64487490X,Mr.,Freddy176,Leo278,Hand679,,,M,white,nonhispanic,M,West Springfield  Massachusetts  US,952 Lockman Harbor Unit 65,Brockton,Massachusetts,Plymouth County,25023,02301,42.10021238218474,-70.91923721463765,156759.90,136022.22,151155
f7a08533-f408-47fb-9ca6-64f8a41a379c,1998-12-08,,999-75-8665,S99935862,X49065103X,Ms.,Linda558,Kim439,Anderson154,,,,asian,nonhispanic,F,Boston  Massachusetts  US,527 Rodriguez Pathway Suite 54,Tewksbury,Massachusetts,Middlesex County,,00000,42.58081055607764,-71.27634437763224,51317.45,5476.18,93647
a3761d27-c6fd-c0bd-16c7-90b45ed39aaa,2012-01-06,,999-83-9956,,,,Cristian531,Rubén780,Bermúdez789,,,,white,hispanic,M,Marigot  Saint Andrew Parish  DM,867 Bernier Dam Apt 4,South Duxbury,Massachusetts,Plymouth County,,00000,42.05531683340802,-70.70631276709011,27671.05,10920.53,190929
d568115b-5707-3533-3362-c9e92df5a08c,2021-11-24,,999-89-7327,,,,Justin359,Curtis94,Vandervort697,,,,white,nonhispanic,M,Attleboro  Massachusetts  US,276 Huels Rapid,Woburn,Massachusetts,Middlesex County,25017,01801,42.52748564828851,-71.1940067375385,7631.96,0.00,422949
5f431964-2554-fe38-f6d5-f24d6389d33d,1984-06-14,,999-34-2755,S99927373,X19521656X,Mr.,Francesco636,Dewitt635,Grant908,,,M,white,nonhispanic,M,Hopkinton  Massachusetts  US,861 VonRueden Green,Charlton,Massachusetts,Worcester County,,00000,42.16898841863095,-71.99175385184108,68823.36,23127.30,100559
a2b22c81-0ce9-058b-5702-1f302e5afbbf,1985-02-10,,999-94-9376,S99940032,X67977710X,Mrs.,Barbera53,Jonna572,Roob72,,Feeney44,M,white,nonhispanic,F,Williamsburg  Massachusetts  US,1082 Harris Port,Malden,Massachusetts,Middlesex County,25017,02148,42.45426505450193,-71.04758567853008,380217.31,598173.94,75235
8ab228ee-6335-5bac-0675-7db8bcdd0ae2,1998-06-19,,999-85-2812,S99923706,X61159656X,Mr.,Kareem959,Oren284,Effertz744,,,,white,nonhispanic,M,Natick  Massachusetts  US,708 Ryan Club Unit 71,Fitchburg,Massachusetts,Worcester County,25027,01420,42.60291699498601,-71.85233417172212,4185.55,40811.85,10503
2b655ecd-7c59-2987-c36f-4f1e1ef38acf,1946-12-01,,999-39-5657,S99975040,X61024927X,Mr.,Steve819,Jeramy610,Cormier289,,,M,white,nonhispanic,M,Andover  Massachusetts  US,846 Eichmann Terrace Suite 28,Westborough,Massachusetts,Worcester County,25027,01581,42.304086907868125,-71.59331753613816,134307.91,202738.70,97069
8e7759c7-7ec7-c6e4-97c4-633a449845d0,1996-11-11,,999-86-5880,S99970750,X51470992X,Mr.,Stanton715,Francis500,Bartoletti50,,,,white,nonhispanic,M,West Springfield  Massachusetts  US,727 Witting Landing,Malden,Massachusetts,Middlesex County,25017,02148,42.40708910810483,-71.05361503524946,94843.03,657382.78,618178
7fe1a598-a0f2-ba09-b5fc-88a5aadff07c,2021-01-28,,999-94-9093,,,,Ashley34,,Rice937,,,,white,nonhispanic,F,Littleton  Massachusetts  US,918 Welch Route Suite 96,Sandwich,Massachusetts,Barnstable County,25001,02563,41.737877037310675,-70.52165820168644,1641.34,13211.72,34178
10fa6e0a-79f5-06b9-5578-66cc3f9e0b96,1989-12-26,,999-68-8337,S99910890,X49664110X,Mrs.,Nidia145,Elaine830,Lueilwitz711,,Abernathy524,M,white,nonhispanic,F,Boston  Massachusetts  US,749 Jaskolski Trailer,Framingham,Massachusetts,Middlesex County,25017,01702,42.27780943304503,-71.4018623106539,150295.69,558005.73,155613
14df185f-1b83-4525-3351-f77e7dc6a7a1,1985-12-04,,999-61-6293,S99919929,X52464958X,Mr.,Derrick232,Rodrigo242,Frami345,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,385 Ankunding Annex,Amesbury,Massachusetts,Essex County,25009,01913,42.839564207440475,-70.94563595789562,64071.15,3836.01,74140
c9e01668-e617-a821-93f4-cdfe27ec125a,1981-06-07,,999-20-2806,S99974959,X73506048X,Mrs.,Yuette836,Toccara373,Harris789,,Hegmann834,D,white,nonhispanic,F,Smith Mills  Massachusetts  US,927 Douglas Trail Suite 56,South Hadley,Massachusetts,Hampshire County,,00000,42.296050905049555,-72.63001909183461,301504.94,120671.95,57581
b2d1b9f4-fe24-2151-8b35-8b5d6d33bc4d,1979-10-10,,999-92-6953,S99971197,X87001785X,Mrs.,Loris321,Trisha327,Mueller846,,Strosin214,M,white,nonhispanic,F,Medford  Massachusetts  US,403 Sanford Gate,Springfield,Massachusetts,Hampden County,25013,01119,42.085419796592625,-72.58515590943718,233501.11,1646878.76,187289
