Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2351ea81-2f97-0c28-8402-a4ba0df4da7b,1976-08-26,,999-60-3944,S99948535,X33177773X,Mrs.,Roseline981,Caridad510,Wintheiser220,,Schiller186,M,white,nonhispanic,F,Mobile  Alabama  US,1076 Mills Skyway Apt 69,Trussville,Alabama,Jefferson County,1073,35173,33.636180936255585,-86.45931882428155,451948.58,6321.99,90234
bb18231a-cee4-07b2-7ca5-bdfd55941348,1941-05-27,2006-04-07,999-36-6473,S99949285,X19993633X,Mr.,Dallas143,Eddy900,Marvin195,,,D,white,nonhispanic,M,Wetumpka  Alabama  US,567 Moore Green,Huntsville,Alabama,Madison County,1089,35811,34.618017746473704,-86.69040165561711,154998.87,89504.39,2753
46da4504-f61c-9f53-33b6-450ac4df7a97,1955-02-07,2014-08-26,999-37-6200,S99945884,X74342796X,Mr.,Numbers230,,Kunze215,,,S,white,nonhispanic,M,Huntsville  Alabama  US,142 Streich Burg Unit 52,Huntsville,Alabama,Madison County,1089,35805,34.62059223350863,-86.4776412933047,62413.87,178990.77,26817
ba9ea0e3-1b6b-38a8-23e7-10539aac7864,1952-12-31,2011-03-07,999-40-4598,S99941690,X34571812X,Mr.,Dominick530,Marvin195,Miller503,,,D,white,nonhispanic,M,Scottsboro  Alabama  US,443 Beer Divide,Muscle Shoals,Alabama,Colbert County,1033,35674,34.64183825358969,-87.78564874670579,108695.71,76214.88,184177
7ba11c74-0709-4730-414a-ad6c56bf4ecf,1971-07-23,,999-61-4367,S99948376,X87215578X,Mr.,Elwood28,,Connelly992,,,M,white,nonhispanic,M,Decatur  Alabama  US,400 Moen Crossroad,Montgomery,Alabama,Montgomery County,1101,36112,32.33543831423237,-86.11771520181993,40382.64,95464.05,10455
7770a32d-41c5-a96d-dc87-5444399095bf,1980-05-25,,999-25-6952,S99942062,X69552954X,Mrs.,Vernetta697,Carylon722,Strosin214,,Hudson301,M,white,hispanic,F,Black  Alabama  US,897 Grady Dale,Bay Minette,Alabama,Baldwin County,1003,36507,30.887579568385313,-87.75688935108796,690202.03,722993.20,6949
1ef458fa-71c3-91a7-d7a6-0760dbee2024,2002-04-16,,999-29-7652,S99976281,X35441818X,Mr.,Raymundo71,Brandon214,Ondricka197,,,,black,nonhispanic,M,Brook Highland  Alabama  US,340 Cassin Lane,Huntsville,Alabama,Madison County,1089,35806,34.60125787864087,-86.86574557828041,33564.14,493.75,49372
4280b032-6b07-1441-5cc8-45a31252e71b,1955-02-07,2015-02-21,999-66-2385,S99977754,X81097792X,Mr.,Brett333,Hugo693,Kertzmann286,,,S,white,nonhispanic,M,Birmingham  Alabama  US,544 Cole Passage,Huntsville,Alabama,Madison County,1089,35741,34.84784138660574,-86.58512667575046,178659.73,362517.83,26817
d4548318-1985-c481-9d5b-bbf109e9501a,1973-07-27,,999-22-2087,S99991819,X88469792X,Mr.,Derek111,Emmett200,Rosenbaum794,,,S,white,nonhispanic,M,Addison  Alabama  US,693 Mueller Corner,Birmingham,Alabama,Jefferson County,1073,35222,33.51141097263939,-87.12160851675628,143594.42,192264.40,10227
21d413db-b7d9-2a6b-d15f-86e11f96af7b,1955-02-07,2021-01-05,999-55-4093,S99936724,X54790523X,Mr.,Carlos172,Pasquale620,Yost751,,,M,white,nonhispanic,M,Fayetteville  Alabama  US,299 Cremin Arcade Suite 96,Huntsville,Alabama,Madison County,1089,35763,34.834520219518666,-86.91495383643797,167876.58,382818.45,26817
